MAV,RMS,ZC,MF,Movimento
25.55028897,25.72390367,0,55.04375767,abrir
32.49672418,40.1886885,0.04,21.47223142,fechar
20.80005186,21.18944764,0,57.03952497,abrir
29.18020891,37.53184228,0.04,23.97042664,fechar
11.24686433,19.63480664,0.07,18.01374535,abrir
27.39898192,41.45489323,0.05,26.4133407,fechar
7.253460239,7.822089929,0.01,10.88371882,abrir
21.69074624,35.47542973,0.06,24.29185311,fechar
7.319969417,9.476153931,0.02,21.38069825,abrir
10.29969909,13.61319872,0.08,25.99334986,fechar
15.11706012,15.60385064,0,32.30860707,abrir
24.37978131,34.44687387,0.06,30.37699389,fechar
19.76289224,20.22267796,0,16.46698862,abrir
18.00334139,20.36687139,0.04,31.65550806,fechar
11.08597534,12.4744882,0,23.10610758,abrir
20.27779736,26.29974778,0.06,28.64494773,fechar
7.912247229,9.093990826,0,22.16442172,abrir
11.49383191,15.35050461,0.08,34.65556626,fechar
6.438154381,7.423436957,0.02,22.51761463,abrir
18.16572688,26.12058407,0.06,29.88223501,fechar
